index,file_path,filename,image_height,image_width,label
2837,./img_data/100/100_31745.png,100_31745.png,19,20,0
1812,./img_data/100/100_4799.png,100_4799.png,40,40,0
6856,./img_data/100/100_29567.png,100_29567.png,24,19,0
2487,./img_data/100/100_35123.png,100_35123.png,30,30,0
2726,./img_data/100/100_32927.png,100_32927.png,112,208,0
4388,./img_data/100/100_33003.png,100_33003.png,24,24,0
751,./img_data/100/100_9155.png,100_9155.png,40,40,0
1282,./img_data/100/100_1685.png,100_1685.png,40,40,0
5664,./img_data/100/100_4679.png,100_4679.png,40,40,0
3456,./img_data/100/100_31169.png,100_31169.png,24,24,0
4322,./img_data/100/100_39077.png,100_39077.png,20,19,0
354,./img_data/100/100_6463.png,100_6463.png,40,40,0
4376,./img_data/100/100_36147.png,100_36147.png,22,19,0
325,./img_data/100/100_38739.png,100_38739.png,19,19,0
4304,./img_data/100/100_8793.png,100_8793.png,40,40,0
5383,./img_data/100/100_4025.png,100_4025.png,40,40,0
1289,./img_data/100/100_31531.png,100_31531.png,18,22,0
867,./img_data/100/100_39197.png,100_39197.png,22,22,0
2366,./img_data/100/100_34943.png,100_34943.png,20,22,0
3227,./img_data/100/100_5131.png,100_5131.png,40,40,0
2353,./img_data/100/100_29641.png,100_29641.png,36,36,0
4464,./img_data/100/100_1403.png,100_1403.png,40,40,0
941,./img_data/100/100_39385.png,100_39385.png,24,24,0
4817,./img_data/100/100_38755.png,100_38755.png,20,18,0
1637,./img_data/100/100_7181.png,100_7181.png,39,40,0
1373,./img_data/100/100_6881.png,100_6881.png,40,40,0
3500,./img_data/100/100_30459.png,100_30459.png,22,21,0
3499,./img_data/100/100_333.png,100_333.png,37,27,0
4401,./img_data/100/100_38803.png,100_38803.png,20,17,0
5080,./img_data/100/100_2051.png,100_2051.png,40,40,0
3807,./img_data/100/100_6965.png,100_6965.png,40,40,0
4009,./img_data/100/100_30131.png,100_30131.png,19,17,0
5142,./img_data/100/100_13115.png,100_13115.png,40,40,0
324,./img_data/100/100_30365.png,100_30365.png,20,20,0
2164,./img_data/100/100_228219.png,100_228219.png,40,40,0
4824,./img_data/100/100_30321.png,100_30321.png,22,20,0
906,./img_data/100/100_30821.png,100_30821.png,17,20,0
5750,./img_data/100/100_4241.png,100_4241.png,40,40,0
7020,./img_data/100/100_30427.png,100_30427.png,19,22,0
5023,./img_data/100/100_2119.png,100_2119.png,40,40,0
6543,./img_data/100/100_32353.png,100_32353.png,40,40,0
2807,./img_data/100/100_5873.png,100_5873.png,40,40,0
4651,./img_data/100/100_10423.png,100_10423.png,40,40,0
4936,./img_data/100/100_3985.png,100_3985.png,40,40,0
4302,./img_data/100/100_226607.png,100_226607.png,864,406,0
3951,./img_data/100/100_30333.png,100_30333.png,163,618,0
6746,./img_data/100/100_1315.png,100_1315.png,40,40,0
2605,./img_data/100/100_453.png,100_453.png,40,40,0
4026,./img_data/100/100_4785.png,100_4785.png,40,40,0
4775,./img_data/100/100_39265.png,100_39265.png,18,23,0
767,./img_data/100/100_1535.png,100_1535.png,40,40,0
2640,./img_data/100/100_29867.png,100_29867.png,24,24,0
4363,./img_data/100/100_5513.png,100_5513.png,40,40,0
4133,./img_data/100/100_30133.png,100_30133.png,20,19,0
3525,./img_data/100/100_5865.png,100_5865.png,40,40,0
288,./img_data/100/100_2017.png,100_2017.png,40,40,0
6319,./img_data/100/100_2179.png,100_2179.png,40,40,0
6800,./img_data/100/100_36645.png,100_36645.png,20,18,0
4691,./img_data/100/100_33205.png,100_33205.png,40,40,0
2815,./img_data/100/100_34601.png,100_34601.png,23,20,0
3144,./img_data/100/100_4775.png,100_4775.png,40,40,0
5945,./img_data/100/100_31689.png,100_31689.png,18,24,0
186,./img_data/100/100_32611.png,100_32611.png,22,21,0
4099,./img_data/100/100_13729.png,100_13729.png,40,40,0
231,./img_data/100/100_7379.png,100_7379.png,40,40,0
2657,./img_data/100/100_34375.png,100_34375.png,14,9,0
5505,./img_data/100/100_2779.png,100_2779.png,40,40,0
2444,./img_data/100/100_33221.png,100_33221.png,22,22,0
6081,./img_data/100/100_35439.png,100_35439.png,24,19,0
4068,./img_data/100/100_7501.png,100_7501.png,40,40,0
6767,./img_data/100/100_36719.png,100_36719.png,34,43,0
5850,./img_data/100/100_32009.png,100_32009.png,17,24,0
6721,./img_data/100/100_37163.png,100_37163.png,22,16,0
1711,./img_data/100/100_5621.png,100_5621.png,40,40,0
6348,./img_data/100/100_401.png,100_401.png,36,33,0
2545,./img_data/100/100_38163.png,100_38163.png,24,21,0
3108,./img_data/100/100_6823.png,100_6823.png,40,40,0
4778,./img_data/100/100_34999.png,100_34999.png,22,21,0
4591,./img_data/100/100_3589.png,100_3589.png,40,40,0
447,./img_data/100/100_13743.png,100_13743.png,40,40,0
5673,./img_data/100/100_7833.png,100_7833.png,40,40,0
2699,./img_data/100/100_6629.png,100_6629.png,40,40,0
3334,./img_data/100/100_5247.png,100_5247.png,40,40,0
6898,./img_data/100/100_30989.png,100_30989.png,17,22,0
513,./img_data/100/100_29839.png,100_29839.png,22,20,0
7019,./img_data/100/100_5199.png,100_5199.png,40,40,0
5025,./img_data/100/100_33819.png,100_33819.png,445,523,0
5252,./img_data/100/100_36141.png,100_36141.png,17,24,0
984,./img_data/100/100_33657.png,100_33657.png,40,40,0
1392,./img_data/100/100_38503.png,100_38503.png,22,22,0
5488,./img_data/100/100_4283.png,100_4283.png,40,40,0
3808,./img_data/100/100_33571.png,100_33571.png,23,23,0
5272,./img_data/100/100_5717.png,100_5717.png,40,40,0
6686,./img_data/100/100_34495.png,100_34495.png,20,20,0
3315,./img_data/100/100_30909.png,100_30909.png,24,24,0
1287,./img_data/100/100_39179.png,100_39179.png,24,24,0
3194,./img_data/100/100_37121.png,100_37121.png,17,19,0
6079,./img_data/100/100_1299.png,100_1299.png,40,40,0
1554,./img_data/100/100_7433.png,100_7433.png,40,40,0
4992,./img_data/100/100_226761.png,100_226761.png,43,44,0
3933,./img_data/100/100_3411.png,100_3411.png,40,40,0
6449,./img_data/100/100_4681.png,100_4681.png,40,40,0
4682,./img_data/100/100_228175.png,100_228175.png,312,624,0
3868,./img_data/100/100_35115.png,100_35115.png,17,20,0
5637,./img_data/100/100_6913.png,100_6913.png,40,40,0
994,./img_data/100/100_38689.png,100_38689.png,20,24,0
3177,./img_data/100/100_8171.png,100_8171.png,40,40,0
982,./img_data/100/100_32549.png,100_32549.png,24,22,0
2377,./img_data/100/100_38823.png,100_38823.png,20,17,0
3743,./img_data/100/100_34949.png,100_34949.png,21,16,0
6200,./img_data/100/100_30637.png,100_30637.png,20,20,0
1753,./img_data/100/100_1889.png,100_1889.png,40,40,0
5549,./img_data/100/100_31891.png,100_31891.png,23,22,0
6583,./img_data/100/100_33677.png,100_33677.png,23,23,0
5880,./img_data/100/100_4531.png,100_4531.png,40,40,0
1624,./img_data/100/100_1719.png,100_1719.png,40,40,0
1987,./img_data/100/100_6039.png,100_6039.png,40,40,0
6794,./img_data/100/100_1261.png,100_1261.png,40,40,0
299,./img_data/100/100_3335.png,100_3335.png,40,40,0
2544,./img_data/100/100_5081.png,100_5081.png,40,40,0
4017,./img_data/100/100_226759.png,100_226759.png,145,145,0
2560,./img_data/100/100_37287.png,100_37287.png,22,24,0
6000,./img_data/100/100_33505.png,100_33505.png,11,11,0
219,./img_data/100/100_745.png,100_745.png,24,36,0
6462,./img_data/100/100_31465.png,100_31465.png,18,24,0
3880,./img_data/100/100_6025.png,100_6025.png,40,40,0
3423,./img_data/100/100_535.png,100_535.png,40,40,0
5515,./img_data/100/100_6523.png,100_6523.png,40,40,0
2663,./img_data/100/100_4943.png,100_4943.png,40,40,0
6111,./img_data/100/100_6521.png,100_6521.png,40,40,0
6332,./img_data/100/100_227621.png,100_227621.png,20,21,0
634,./img_data/100/100_7347.png,100_7347.png,40,40,0
3053,./img_data/100/100_7095.png,100_7095.png,40,40,0
1882,./img_data/100/100_31025.png,100_31025.png,22,18,0
2490,./img_data/100/100_2261.png,100_2261.png,40,40,0
4387,./img_data/100/100_2903.png,100_2903.png,40,40,0
6403,./img_data/100/100_5979.png,100_5979.png,40,40,0
2311,./img_data/100/100_4229.png,100_4229.png,40,40,0
5795,./img_data/100/100_9201.png,100_9201.png,40,40,0
1610,./img_data/100/100_797.png,100_797.png,24,36,0
1794,./img_data/100/100_7509.png,100_7509.png,40,40,0
5983,./img_data/100/100_30959.png,100_30959.png,21,22,0
305,./img_data/100/100_2759.png,100_2759.png,40,40,0
901,./img_data/100/100_31295.png,100_31295.png,18,24,0
5316,./img_data/100/100_1363.png,100_1363.png,40,40,0
5093,./img_data/100/100_30531.png,100_30531.png,40,40,0
5118,./img_data/100/100_31161.png,100_31161.png,10,10,0
5355,./img_data/100/100_3951.png,100_3951.png,40,40,0
6654,./img_data/100/100_4079.png,100_4079.png,40,40,0
968,./img_data/100/100_36075.png,100_36075.png,132,132,0
3489,./img_data/100/100_31035.png,100_31035.png,18,18,0
7010,./img_data/100/100_38709.png,100_38709.png,20,20,0
5518,./img_data/100/100_6245.png,100_6245.png,40,40,0
4434,./img_data/100/100_37311.png,100_37311.png,23,21,0
2358,./img_data/100/100_36775.png,100_36775.png,64,40,0
1216,./img_data/100/100_435.png,100_435.png,40,40,0
4638,./img_data/100/100_2913.png,100_2913.png,40,40,0
119,./img_data/100/100_1279.png,100_1279.png,40,40,0
4117,./img_data/100/100_671.png,100_671.png,26,36,0
5090,./img_data/100/100_3373.png,100_3373.png,40,40,0
5260,./img_data/100/100_9139.png,100_9139.png,40,40,0
4580,./img_data/100/100_1361.png,100_1361.png,40,40,0
2723,./img_data/100/100_3027.png,100_3027.png,40,40,0
2271,./img_data/100/100_5309.png,100_5309.png,40,40,0
863,./img_data/100/100_815.png,100_815.png,24,36,0
5248,./img_data/100/100_7855.png,100_7855.png,40,40,0
5569,./img_data/100/100_6709.png,100_6709.png,40,40,0
1576,./img_data/100/100_4853.png,100_4853.png,40,40,0
3941,./img_data/100/100_7105.png,100_7105.png,40,40,0
4586,./img_data/100/100_32537.png,100_32537.png,40,40,0
3646,./img_data/100/100_3969.png,100_3969.png,40,40,0
758,./img_data/100/100_8539.png,100_8539.png,40,40,0
5037,./img_data/100/100_4583.png,100_4583.png,40,40,0
2333,./img_data/100/100_5679.png,100_5679.png,40,40,0
1687,./img_data/100/100_2199.png,100_2199.png,40,40,0
847,./img_data/100/100_3929.png,100_3929.png,40,40,0
2620,./img_data/100/100_6417.png,100_6417.png,40,40,0
5073,./img_data/100/100_36183.png,100_36183.png,33,35,0
6980,./img_data/100/100_6255.png,100_6255.png,40,40,0
4332,./img_data/100/100_33229.png,100_33229.png,23,20,0
1342,./img_data/100/100_3079.png,100_3079.png,40,40,0
